id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23884598,Habitacion sencilla pero INCREIBLE.,96739993,Uriel,,Cuauhtémoc,19.42077,-99.15835,Private room,344,1,40,2019-06-17,2.60,2,337
23886145,Cozy Studio | Polanco CDMX Trendy Neighborhood,54377546,Lourdes,,Miguel Hidalgo,19.43502,-99.18779,Entire home/apt,1434,3,63,2019-06-13,4.23,1,289
23891749,Habitacion  linda WTC Ciudad de Mexico,72236102,Ethianne,,Benito Juárez,19.39068,-99.17706,Private room,401,1,28,2019-03-21,1.84,2,365
23895389,Hermoso departamento zona exclusiva Polanco,5054920,Lorena,,Miguel Hidalgo,19.42947,-99.18955,Entire home/apt,1625,2,15,2019-06-05,1.88,1,164
23895520,Habitación a 40min del centro historico,173103110,Ines,,Iztapalapa,19.33051,-98.97561,Private room,349993,1,0,,,1,365
23896111,"Cálido apartamento, Parque México, Condesa",19979617,Analia,,Cuauhtémoc,19.4106,-99.16888,Entire home/apt,1606,3,26,2019-06-15,1.99,4,330
23897082,Casa gonzalez,179583880,Ulises,,La Magdalena Contreras,19.32036,-99.22753,Private room,497,3,1,2018-06-07,0.08,1,179
23898100,Morelos 41,78632347,Carlos,,Álvaro Obregón,19.34394,-99.19964,Entire home/apt,1204,1,2,2018-05-14,0.15,2,364
23898823,Cozy Modern and fully Equipped Centrical Apt 6,29942496,Felipe,,Miguel Hidalgo,19.39401,-99.23911,Entire home/apt,1300,2,17,2019-04-27,1.17,6,322
23899807,Departamento de ensueño en Polanco,178059209,Cristina,,Miguel Hidalgo,19.43457,-99.18474,Entire home/apt,956,2,26,2018-08-04,1.83,1,1
23899844,Suite in a Charming Colonial Villa in San Angel,3267477,Werner,,Álvaro Obregón,19.34527,-99.2015,Private room,1912,1,18,2019-05-30,1.50,1,158
23899847,Gran descanso privado y confor,179610420,Miriam,,Milpa Alta,19.1889,-98.99501,Private room,440,3,1,2018-07-01,0.08,1,88
23901610,Departamento a Pasos Centro Coyoacan Turistas,25657184,Hugo Christian,,Benito Juárez,19.3644,-99.16403,Private room,440,2,27,2019-06-13,1.80,4,359
23901664,3BR - Location - PickUpService - 24hrs Security,46570815,Claudio  & Angela,,Miguel Hidalgo,19.43315,-99.1859,Entire home/apt,2046,1,31,2019-06-02,2.06,12,159
23901679,"Beautiful, Secure and lovely suite.",95869635,Ben,,Benito Juárez,19.37767,-99.17019,Entire home/apt,688,2,43,2019-06-09,2.82,3,163
23901743,Pampered comfort for the traveling executive,126643395,Brent,,Miguel Hidalgo,19.4286,-99.19201,Entire home/apt,6691,1,4,2018-08-16,0.27,29,0
23902015,Studio in Polanco: excellent location,50827932,Isabel,,Miguel Hidalgo,19.43429,-99.19026,Entire home/apt,1319,3,32,2019-05-18,2.13,3,154
23902528,"Muy iluminado, Centrico y con 200 MPS de Internet",24174243,Kukis,,Benito Juárez,19.37657,-99.15972,Private room,325,1,8,2018-05-21,0.53,1,0
23902556,GREAT LOCATION APARTMENT CONDESA,47505415,Oscar,,Cuauhtémoc,19.40808,-99.17675,Entire home/apt,707,2,73,2019-06-06,5.06,1,67
23904585,Departamento en dos plantas con amplia terraza,70937648,Victor,,Cuauhtémoc,19.45067,-99.16237,Entire home/apt,1204,1,146,2019-06-11,9.73,16,241
23905040,Enttorno Residencial (10 min Santa Fé),179668881,Edgar,,Cuajimalpa de Morelos,19.36498,-99.29812,Entire home/apt,784,3,19,2019-03-22,1.38,1,144
23906388,Casa de las catrinas en Coyoacán/ Catrinas’ house,19536217,Salvador,,Coyoacán,19.34725,-99.16037,Entire home/apt,1204,2,73,2019-05-27,4.87,2,139
23906399,Recámara a 25 min caminando de Coyoacán.,179661912,C. Abraham,,Benito Juárez,19.35938,-99.14045,Private room,306,1,12,2019-05-31,1.10,1,340
23913375,Depatour,173893428,María Del Rocio,,Gustavo A. Madero,19.46934,-99.08448,Shared room,191,3,4,2019-03-17,0.36,1,365
23914715,Cuarto amplio y cómodo con baño de uso exclusivo,124763349,Federico,,Tlalpan,19.30422,-99.13094,Private room,191,1,13,2018-12-29,1.01,2,362
23915264,Prívate luxury room in cuajimalpa,153247750,Andres,,Cuauhtémoc,19.43332,-99.13409,Private room,1893,1,0,,,1,365
23920017,habitación privada,133009400,Lalo,,Benito Juárez,19.36881,-99.1791,Private room,306,1,0,,,1,89
23920482,Hotel Real del Sur,179787974,Dafne,,Coyoacán,19.32107,-99.13884,Private room,1204,1,0,,,1,179
23920765,HABITACIÓN PRIVADA ESPECIAL A 5 MINS AEROPUERTO.,31362063,Erika,,Venustiano Carranza,19.42223,-99.09048,Private room,459,1,4,2019-03-18,0.29,11,365
23920872,Amazing Penthouse in Polanco.,55605035,Luz,,Miguel Hidalgo,19.43697,-99.19851,Entire home/apt,152936,7,12,2018-06-03,0.80,1,174
23920915,"Suite for rent, downtown Mexico City",72318105,Alberto,,Cuauhtémoc,19.43788,-99.14905,Entire home/apt,688,7,2,2019-03-03,0.22,5,358
23921537,Best location CDMX Roma Norte,62475446,Maca,,Cuauhtémoc,19.41828,-99.15371,Entire home/apt,841,1,53,2019-06-13,3.57,4,166
23922476,Luxury 2 Bedroom | Roma Norte,2252401,Danny,,Cuauhtémoc,19.42164,-99.16388,Entire home/apt,3613,1,4,2019-01-02,0.31,2,0
23922656,Historic duplex with mid-Century flair,126643395,Brent,,Cuauhtémoc,19.41885,-99.16422,Entire home/apt,2504,1,5,2019-04-16,0.38,29,357
23922815,Tu lugar ideal,62451945,Andres,,Benito Juárez,19.36199,-99.16254,Private room,669,1,0,,,1,83
23924230,CUARTO AMPLIO AL SUR DE LA CDMX (PEDREGAL),27710916,Pablo,,Tlalpan,19.30157,-99.19726,Private room,554,1,6,2019-03-17,0.41,1,167
